date,exdate,forward_price,strike_price,time_to_exp,interest_rate,dividend_yield,best_bid,best_offer,mid_price,impl_volatility,volume,open_interest,moneyness
2020-01-02,2020-01-10,86.052002,69.5,0.021917808219178,0.015,0,16.580000000000002,16.66,16.619999999999997,0.672376,265,630,1.2381583021582734
2020-01-02,2020-01-10,86.052002,74.0,0.021917808219178,0.015,0,12.2,12.26,12.23,0.619882,260,1480,1.162864891891892
2020-01-02,2020-01-10,86.052002,76.0,0.021917808219178,0.015,0,10.28,10.36,10.32,0.588135,720,1820,1.1322631842105264
2020-01-02,2020-01-10,86.052002,76.5,0.021917808219178,0.015,0,9.81,9.9,9.855,0.583131,530,685,1.12486277124183
2020-01-02,2020-01-10,86.052002,78.0,0.021917808219178,0.015,0,8.459999999999999,8.540000000000001,8.5,0.572835,255,1390,1.103230794871795
2020-01-02,2020-01-10,86.052002,80.0,0.021917808219178,0.015,0,6.75,6.82,6.784999999999999,0.558061,810,3505,1.075650025
2020-01-02,2020-01-10,86.052002,81.0,0.021917808219178,0.015,0,5.96,6.0200000000000005,5.99,0.553786,355,2015,1.0623703950617285
2020-01-02,2020-01-10,86.052002,82.0,0.021917808219178,0.015,0,5.21,5.25,5.2299999999999995,0.547511,1105,2285,1.0494146585365853
2020-01-02,2020-01-10,86.052002,82.5,0.021917808219178,0.015,0,4.85,4.89,4.87,0.545052,685,1065,1.0430545696969697
2020-01-02,2020-01-10,86.052002,83.0,0.021917808219178,0.015,0,4.51,4.55,4.529999999999999,0.544249,2525,3100,1.036771108433735
2020-01-02,2020-01-10,86.052002,83.5,0.021917808219178,0.015,0,4.18,4.220000000000001,4.2,0.54273,840,1030,1.0305628982035928
2020-01-02,2020-01-10,86.052002,84.0,0.021917808219178,0.015,0,3.86,3.91,3.885,0.541541,8125,7310,1.0244285952380952
2020-01-02,2020-01-10,86.052002,84.5,0.021917808219178,0.015,0,3.56,3.6,3.5799999999999996,0.539498,2385,4665,1.0183668875739644
2020-01-02,2020-01-10,86.052002,85.0,0.021917808219178,0.015,0,3.28,3.3200000000000003,3.3,0.539655,10395,4400,1.0123764941176472
2020-01-02,2020-01-10,86.052002,85.5,0.021917808219178,0.015,0,3.02,3.05,3.035,0.539885,5795,1010,1.00645616374269
2020-01-02,2020-01-10,86.052002,86.0,0.021917808219178,0.015,0,2.77,2.78,2.775,0.538202,16185,5575,1.0006046744186046
2020-01-02,2020-01-10,86.052002,86.5,0.021917808219178,0.015,0,2.53,2.56,2.545,0.539624,4355,1355,0.9948208323699422
2020-01-02,2020-01-10,86.052002,87.0,0.021917808219178,0.015,0,2.31,2.34,2.325,0.540185,14100,3610,0.9891034712643678
2020-01-02,2020-01-10,86.052002,87.5,0.021917808219178,0.015,0,2.1,2.13,2.115,0.53991,1420,740,0.9834514514285715
2020-01-02,2020-01-10,86.052002,88.0,0.021917808219178,0.015,0,1.92,1.94,1.93,0.54191,9220,4540,0.9778636590909091
