config,fold,err_rmse_norm,err_max_abs,pinn_bfly_rate,pinn_bfly_int_neg,pinn_bfly_max_neg,pinn_cal_rate,pinn_cal_int_neg,pinn_cal_max_neg,bs_bfly_rate,bs_bfly_int_neg,bs_cal_rate,bs_cal_int_neg
standard_physics,Nov2020,0.0002629053410974554,0.0010085369688281887,0.0283,4.018186569213867,-1004.129638671875,0.00095,3.659166395664215e-06,-0.006500631105154753,0.005,4.0150799312911385,0.0,0.0
standard_physics,Sep2020,0.0001786146109695186,0.0011273507324958132,0.02695,4.0206074714660645,-1004.546875,0.0009,2.121180386893684e-06,-0.0038444993551820517,0.005,4.01746281097879,0.0,0.0
modified_physics_mu0.5,Nov2020,0.0007152640907571143,0.0029324043402407796,0.17145,4.070401191711426,-1013.6068115234375,0.0011,1.712024641165044e-05,-0.02178828977048397,0.005,4.0150799312911385,0.0,0.0
modified_physics_mu0.5,Sep2020,0.0003782137771195396,0.0015261158341777215,0.1436,4.068647861480713,-1004.1892700195312,0.0013,5.75999683860573e-06,-0.007604248356074095,0.005,4.01746281097879,0.0,0.0
modified_physics_mu0.75,Nov2020,0.000355576627588119,0.0016490152623811678,0.2449,4.141341209411621,-1012.0272827148438,0.003,2.0428187781362794e-05,-0.013530253432691097,0.005,4.0150799312911385,0.0,0.0
modified_physics_mu0.75,Sep2020,0.0003099620131662226,0.0019659405840847244,0.2326,4.139461517333984,-1014.7392578125,0.00185,1.6880989278433844e-05,-0.030372289940714836,0.005,4.01746281097879,0.0,0.0
modified_physics_mu1.0,Nov2020,0.005972162846601354,0.02201180573201339,0.373,4.617220878601074,-1006.9310913085938,0.2371,0.030654940754175186,-0.8573233485221863,0.005,4.0150799312911385,0.0,0.0
modified_physics_mu1.0,Sep2020,0.0038336755771291673,0.0146160640292739,0.36245,4.571585178375244,-1045.614501953125,0.20685,0.023472705855965614,-0.7227733135223389,0.005,4.01746281097879,0.0,0.0
