run,fold,vol_type,sigma_fixed,corr_sigma_iv,rmse_sigma_vs_iv,rmse_flat_vs_iv,beats_flat,sigma_min,sigma_max,n_test
stage2_B10_cvol,Nov2020,cvol,0.7763340000000001,-0.2568370226485112,0.14269280276863622,0.14229401443036158,False,0.6342647671699524,0.7748191952705383,6420
stage2_B10_cvol,Dec2020,cvol,0.771868,0.05540683883356427,0.18041968602047362,0.18078108131320136,True,0.7682978510856628,0.779288113117218,5438
stage2_B10_avol,Nov2020,avol,0.7763340000000001,0.14199622548796165,0.18302771947403848,0.14229401443036158,False,0.5944695472717285,0.5944699048995972,6420
stage2_B10_avol,Dec2020,avol,0.771868,0.2846862665538115,0.26538817229603817,0.18078108131320136,False,0.5882086157798767,0.594235897064209,5438
stage2_B12_cvol,Nov2020,cvol,0.7763340000000001,0.052733236552511976,0.14248186081244735,0.14229401443036158,False,0.7737708687782288,0.7784820199012756,6420
stage2_B12_cvol,Dec2020,cvol,0.771868,0.24629807615384378,0.180771825606092,0.18078108131320136,True,0.7718144059181213,0.7719345688819885,5438
stage2_B12_avol,Nov2020,avol,0.7763340000000001,0.06432635924348541,0.13262157255626714,0.14229401443036158,True,0.7313730120658875,0.7416066527366638,6420
stage2_B12_avol,Dec2020,avol,0.771868,0.2881229738451329,0.1870204523382236,0.18078108131320136,False,0.7369192242622375,0.7378604412078857,5438
